month,day,hour,weekendOrHoliday,temp,dayOfYear,target
1,1,0,1,2,1,0
1,1,0,1,2,1,0
1,1,0,1,1,1,0
1,1,0,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,2,1,1,1,0
1,1,2,1,1,1,0
1,1,2,1,1,1,0
1,1,2,1,1,1,0
1,1,3,1,1,1,0
1,1,3,1,1,1,0
1,1,3,1,0,1,0
1,1,3,1,0,1,0
1,1,4,1,0,1,0
1,1,4,1,0,1,0
1,1,4,1,0,1,0
1,1,4,1,0,1,0
1,1,5,1,0,1,0
1,1,5,1,0,1,0
1,1,5,1,0,1,0
1,1,5,1,0,1,0
1,1,6,1,0,1,0
1,1,6,1,0,1,0
1,1,6,1,-1,1,0
1,1,6,1,-1,1,0
1,1,7,1,-1,1,0
1,1,7,1,-1,1,0
1,1,7,1,0,1,0
1,1,7,1,0,1,0
1,1,8,1,1,1,0
1,1,8,1,1,1,0
1,1,8,1,1,1,0
1,1,8,1,1,1,0
1,1,9,1,2,1,0
1,1,9,1,2,1,0
1,1,9,1,3,1,0
1,1,9,1,3,1,0
1,1,10,1,3,1,0
1,1,10,1,3,1,0
1,1,10,1,4,1,0
1,1,10,1,4,1,0
1,1,11,1,5,1,0
1,1,11,1,5,1,0
1,1,11,1,5,1,0
1,1,11,1,5,1,0
1,1,12,1,6,1,0
1,1,12,1,6,1,0
1,1,12,1,5,1,0
1,1,12,1,5,1,0
1,1,13,1,6,1,0
1,1,13,1,6,1,0
1,1,13,1,6,1,0
1,1,13,1,6,1,0
1,1,14,1,5,1,0
1,1,14,1,5,1,0
1,1,14,1,5,1,0
1,1,14,1,5,1,0
1,1,15,1,5,1,0
1,1,15,1,5,1,0
1,1,15,1,5,1,0
1,1,15,1,5,1,0
1,1,16,1,5,1,0
1,1,16,1,5,1,0
1,1,16,1,4,1,0
1,1,16,1,4,1,0
1,1,17,1,3,1,0
1,1,17,1,3,1,0
1,1,17,1,2,1,0
1,1,17,1,2,1,0
1,1,18,1,2,1,0
1,1,18,1,2,1,0
1,1,18,1,2,1,0
1,1,18,1,2,1,0
1,1,19,1,2,1,0
1,1,19,1,2,1,0
1,1,19,1,2,1,0
1,1,19,1,2,1,0
1,1,20,1,2,1,0
1,1,20,1,2,1,0
1,1,20,1,2,1,0
1,1,20,1,2,1,0
1,1,21,1,1,1,0
1,1,21,1,1,1,0
1,1,21,1,1,1,0
1,1,21,1,1,1,0
